Epoch,Train Loss,Test Loss,Test Policy Loss,Test Value Loss
1,6.527,6.0055,5.0476,0.9579
2,5.4848,5.1209,4.195,0.9259
3,4.918,4.7263,3.8151,0.9112
4,4.6044,4.4678,3.575,0.8928
5,4.3773,4.2573,3.3668,0.8905
6,4.2109,4.119,3.2301,0.889
7,4.0793,4.0928,3.1448,0.948
8,3.9841,4.0078,3.0656,0.9422
9,3.9046,3.8701,2.9874,0.8827
10,3.8358,3.8115,2.9341,0.8774
11,3.7824,3.8245,2.895,0.9294
12,3.7371,3.7385,2.8562,0.8822
13,3.6988,3.749,2.8403,0.9086
14,3.6599,3.6474,2.803,0.8444
15,3.6348,3.6036,2.7572,0.8464
16,3.6065,3.6454,2.7425,0.903
17,3.578,3.5986,2.7079,0.8907
18,3.5548,3.5669,2.7127,0.8541
19,3.5383,3.7001,2.708,0.992
20,3.5188,3.5088,2.6823,0.8265
21,3.5048,3.5159,2.6761,0.8398
22,3.4872,3.4909,2.6617,0.8291
23,3.4747,3.5185,2.6497,0.8688
24,3.4611,3.4684,2.6363,0.8321
25,3.45,3.468,2.6452,0.8227
26,3.4333,3.4206,2.5983,0.8223
27,3.4288,3.4137,2.5892,0.8245
28,3.4137,3.4563,2.5916,0.8647
29,3.4019,3.398,2.5769,0.821
30,3.3948,3.4047,2.5732,0.8315
31,3.3841,3.5917,2.5734,1.0183
32,3.3778,3.4715,2.5615,0.9099
33,3.3707,3.6047,2.5578,1.0469
34,3.3611,3.4358,2.5559,0.8799
35,3.3518,3.3675,2.5386,0.8289
36,3.3493,3.3648,2.5426,0.8221
37,3.3413,3.3265,2.5186,0.8079
38,3.3342,3.3444,2.5332,0.8112
39,3.3271,3.3397,2.5271,0.8126
40,3.3239,3.4103,2.5284,0.8819
