Epoch,Train Loss,Test Loss,Test Policy Loss,Test Value Loss
1,7.5057,6.6284,5.0311,1.5973
2,5.5497,5.2301,4.3083,0.9218
3,4.9987,4.8159,3.9007,0.9152
4,4.6402,4.5279,3.6104,0.9175
5,4.3791,4.2767,3.4028,0.8739
6,4.1983,4.1755,3.2721,0.9034
7,4.058,4.0023,3.1272,0.8751
8,3.9498,3.89,3.0385,0.8515
9,3.8579,3.8245,2.968,0.8564
10,3.788,3.7468,2.9174,0.8294
11,3.727,3.6851,2.852,0.8331
12,3.6816,3.6496,2.8259,0.8237
13,3.643,3.611,2.7943,0.8167
14,3.6061,3.6048,2.7691,0.8357
15,3.5729,3.5892,2.749,0.8403
16,3.5461,3.5742,2.7012,0.873
17,3.5241,3.5054,2.6834,0.822
18,3.5004,3.4762,2.6734,0.8028
19,3.4769,3.4819,2.6491,0.8329
20,3.4575,3.437,2.6325,0.8045
21,3.4381,3.4474,2.63,0.8174
22,3.424,3.4402,2.6119,0.8283
23,3.4143,3.4164,2.6123,0.8041
24,3.3955,3.3878,2.5905,0.7973
25,3.376,3.3793,2.5818,0.7975
26,3.366,3.4056,2.5788,0.8268
27,3.3558,3.3799,2.5697,0.8102
28,3.347,3.3507,2.5593,0.7914
29,3.3336,3.3285,2.5368,0.7917
30,3.3249,3.3081,2.5186,0.7895
31,3.3218,3.3505,2.547,0.8035
32,3.3124,3.2928,2.5114,0.7814
33,3.3,3.3248,2.5266,0.7982
34,3.2965,3.303,2.5225,0.7804
35,3.2893,3.2869,2.5087,0.7782
36,3.2776,3.3077,2.5118,0.7958
37,3.2743,3.2654,2.4881,0.7773
38,3.2675,3.3296,2.5272,0.8023
39,3.2627,3.2489,2.4698,0.7791
40,3.2539,3.434,2.6418,0.7922
