Epoch,Train Loss,Test Loss,Test Policy Loss,Test Value Loss
1,7.1784,6.69,4.7153,1.9748
2,6.4576,6.173,4.4673,1.7056
3,5.9483,6.9307,5.2213,1.7094
4,5.6457,19.2635,17.6454,1.6181
5,4.9214,6.9745,5.3877,1.5868
6,4.7968,9.6799,7.6759,2.004
7,4.7241,33.2211,31.2047,2.0164
8,4.6761,58.9673,56.9374,2.0299
9,4.6293,108.9392,106.9342,2.005
10,4.6038,34.1465,32.4207,1.7258
11,4.5675,27.8396,26.0363,1.8033
12,4.5392,41.3394,39.4418,1.8976
13,4.5144,66.9349,65.7942,1.1408
14,4.5037,71.4828,69.7848,1.698
15,4.4778,7.7904,6.3938,1.3966
16,4.4527,8.5005,7.4348,1.0656
17,4.4415,21.5032,20.2256,1.2776
18,4.4218,24.9817,23.4616,1.5202
19,4.4093,39.6646,37.6935,1.9711
20,4.3895,67.0857,65.1164,1.9693
21,4.3921,138.1302,136.1861,1.944
22,4.3724,47.3569,45.4259,1.9311
23,4.3509,57.4398,55.4835,1.9563
24,4.3526,58.8207,57.1693,1.6514
25,4.4534,7.9946,6.4624,1.5322
26,4.3314,11.6952,9.887,1.8081
27,4.3223,16.5349,14.8214,1.7135
28,4.3206,83.9401,82.6571,1.283
29,4.3354,66.7723,65.071,1.7013
30,4.3118,548.7512,547.0382,1.713
31,4.3022,292.9309,291.3156,1.6153
32,4.2959,60.6107,59.5037,1.107
33,4.2821,24.9139,23.7357,1.1782
34,4.2749,44.0288,42.3777,1.6512
35,4.2742,83.7827,81.8162,1.9665
36,4.2803,199.6464,197.6315,2.0149
37,4.2628,970.0943,968.0953,1.9989
38,4.2562,857.8394,855.8399,1.9996
39,4.2517,1006.328,1004.3215,2.0065
40,4.2591,894.7581,892.7636,1.9945
